"	Category","	Event","	Event Display Name","	Event Description","	Event Volume","	Event Query Volume","	Event Schema Status","	Event First Seen","	Event Last Seen","	Event Number of Properties","	Event Property","	Property Description","	Property Type","	Property Schema Status","	Property Is Required","	Property Is Array","	Property Enum Options","	Property Regex","	Property First Seen","	Property Last Seen"
"	Insights calculator","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	"
"	","	Launched AMT Crossover","	","	","	0","	3","	added","	2020-03-18","	2020-06-23","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	Launched Exit Forecast","	","	","	0","	3","	added","	2019-09-26","	2020-06-24","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	Launched Tax Bracket Maximization","	","	","	0","	3","	added","	2020-03-18","	2020-06-19","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	","	Launched Tax Report","	","	","	0","	3","	added","	2019-09-26","	2020-06-25","	2","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	forCompany","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	launchedVia","	","	any","	added","	false","	false","	","	","	2020-03-17","	2021-04-07"
"	Uncategorized","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	","	"
"	","	Answered Get Started Question","	Answered G.S. Question","	","	0","	6","	added","	2019-09-26","	2020-06-24","	3","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	options","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-18"
"	","	","	","	","	","	","	","	","	","	","	question","	","	any","	added","	false","	false","	","	","	2019-09-26","	2021-04-07"
"	","	","	","	","	","	","	","	","	","	","	shares","	","	any","	added","	false","	false","	","	","	2019-09-26","	2020-12-18"
"	","	Audit","	","	","	0","	0","	added","	2020-08-25","	2020-08-25","	17","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	details.action","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.blocked","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.message_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.name","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.planned","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.resource_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.resource_type","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.source_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.source_name","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.source_slug","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.subject_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.subject_type","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.target","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.tracking_plan_connected","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	details.type","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	","	","	","	","	","	","	","	","	","	type","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	workspace_id","	","	any","	added","	false","	false","	","	","	2020-08-25","	2020-08-25"
"	","	Company Changed-Status","	","	","	2331","	0","	added","	2020-09-09","	2021-04-07","	16","	","	","	","	","	","	","	","	","	","	"
"	","	","	","	","	","	","	","	","	","	","	affinity_organization_id","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	body.crunchbase_uuid","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.domain","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.domains","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.global","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.id","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	body.name","	","	any","	added","	false","	false","	","	","	2020-09-09","	2020-09-14"
"	","	","	","	","	","	","	","	","	","	","	domain","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	domains","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	organization_name","	","	any","	added","	false","	false","	","	","	2020-09-14","	2021-04-06"
"	","	","	","	","	","	","	","	","	","	","	secfi_company_uuid","	","	any","	added","	false","	false","	","	","	2020-04-14","	2021-04-07"
